"Azure Cost Estimator — 서비스별 구현·검증 현황"
"기준: main v64, 2026-06-21 · 총 17개 카테고리 · 모든 가격은 Azure Retail Prices API 실시간 조회(하드코딩 없음)"
"검증 수준 — 라이브 검증: koreacentral API 데이터로 매칭 확인 / 미검증: 실데이터 확인 안 됨 / 취약: 매칭 로직이 실제 SKU와 불일치 가능. 실제 화면 동작은 브라우저에서 최종 확인 권장"
""
"번호","서비스 (드롭다운)","파일","구현 방식","검증 수준","계산 항목","주요 옵션","관련 버전","알려진 한계 / 미구현"
"[A] 전용 resolver + 라이브 API 검증 — 신뢰도 높음","","","","","","","",""
"1","Virtual Machine","vm.js","전용 resolver","라이브 검증(부분)","컴퓨팅(용량제/절약/예약) + OS(Windows/Linux) + SQL Server·BizTalk 라이선스 가산","series, instance, os, tier, license, swType","v44, v45","SQL Server·BizTalk vCPU 구간 매칭은 브라우저에서 최종 확인 권장(라이선스 미터는 리전 비종속)"
"2","Disk","disk.js","전용 resolver","전용 구현(성숙, 본 대화 미재검증)","표준 HDD/SSD, 프리미엄 SSD, 프리미엄 SSD v2, Ultra Disk + 스냅샷/Conf 암호화/버스팅","diskSubType, 크기, IOPS, 처리량, 중복성, 스냅샷","v40, v47","프리미엄 SSD P30+만 예약(RI) 지원; ZRS 미지원 리전 안내(v47). 이번 대화에서 라이브 재검증은 안 함"
"3","VPN Gateway","vpn-gateway.js","전용 resolver","라이브 검증(부분)","게이트웨이 SKU 시간당 요금 + VNET 간/인터넷 데이터 전송","sku, gatewayHours, 전송 유형, vnetGB","v56","같은 리전 VNet-to-VNet 전용 미터가 없어 리전 간 피어링 미터로 대체(상태창에 명시)"
"4","Azure Kubernetes Service","aks.js","전용 resolver","라이브 검증","클러스터 관리요금(표준 SLA / LTS / Automatic)","계층, SLA 옵션","v53, v54, v55","노드(워커 VM)와 디스크는 설계상 별도 행(Virtual Machine / Disk)으로 추가해야 함"
"5","Blob Storage","blob-storage.js","전용 resolver","라이브 검증","계층×중복성 — Data Stored / Read / Write / Data Retrieval","blobTier, redundancy, metric","v57","일부 조합은 미터가 없어 매칭 실패가 정상(예: Hot의 Data Retrieval, Archive의 ZRS)"
"6","Backup","backup.js","전용 resolver","라이브 검증","보호 인스턴스 13종 + 백업 저장소(Standard/Archive)","metric, workload, 계층, 중복성","v58, v59","인스턴스 요금과 저장소 요금은 각각 별도 Backup 행으로 추가; 예약 용량 SKU 제외"
"7","Azure Files","azure-files.js","전용 resolver","라이브 검증","계층×중복성 — Data Stored / Snapshots / Metadata","fileTier, redundancy, metric","v60","Premium은 GRS·Metadata 없음, Snapshots는 Premium만, Transaction Optimized는 Metadata 없음(해당 조합 매칭 실패가 정상)"
"8","Azure Bastion","bastion.js","전용 resolver","라이브 검증","계층별 게이트웨이(시간당) / 추가 게이트웨이(시간당) / 데이터 전송 아웃(GB)","tier(Basic/Standard/Premium), metric","v62","Basic은 추가 게이트웨이 미터 없음(매칭 실패 정상); 데이터 전송은 첫 5GB 무료·대용량 할인 미반영(첫 유료 구간 단가 사용); 절약/예약 미적용"
"9","Load Balancer","load-balancer.js","전용 resolver","라이브 검증","계층별 규칙(포함/초과, 시간당) / 데이터 처리(GB); Gateway는 게이트웨이/체인/데이터","tier(Standard/Gateway/Global/Basic), metric(계층별 전환)","v64","미터는 리전 비종속(armRegionName='Global'); Basic은 무료(미터 없음); 계층에 없는 항목 조합은 매칭 실패; 절약/예약 미적용"
"[B] 제네릭 처리(엔진에 매핑 존재) — 실데이터 미검증","","","","","","","",""
"10","Application Gateway","app-gateway.js","제네릭(엔진 매핑)","미검증","SKU(Standard_v2 / WAF_v2 / Standard_Small·Medium·Large)","sku","-","skuName 포함 매칭만. 고정요금 + 용량단위(CU) 구분 없음. 검증 필요"
